en	translation	gender	meaning_translation
major			
majority			
mall			
man			
management			
manager			
manner			
map			
March			
mark			
market			
marriage			
match			
material			
matter			
May			
mayor			
maze			
meadow			
meal			
meaning			
means			
meantime			
measure			
measurement			
meat			
mechanics			
medal			
media			
mediation			
medic			
medication			
medicine			
meditation			
meeting			
melody			
melon			
member			
membership			
membrane			
memorandum			
memorial			
memory			
menace			
mentality			
mention			
mentor			
menu			
merchandise			
merchant			
mercury			
mercy			
merger			
merit			
merlion			
mesh			
mess			
messenger			
metal			
meteor			
meter			
method			
metropolis			
Mexico			
middle			
milk			
mind			
minor			
minute			
mirror			
miss			
mistake			
mix			
mixture			
moai			
moan			
mob			
mobile			
mockery			
model			
moderation			
modernism			
modesty			
molecule			
mom			
moment			
momentum			
monarchy			
Monday			
money			
monk			
monkey			
monologue			
monopoly			
monotone			
monster			
montana			
montmartre			
monument			
mood			
moon			
moonlight			
mop			
moral			
morality			
morning			
mortality			
mortgage			
mosaic			
mosque			
moss			
moth			
mother			
motion			
motivation			
mount			
mountain			
mouse			
mouth			
mouthful			
movement			
movie			
mr			
mrs			
murder			
muscle			
music			
nail			
name			
nation			
nature			
neck			
need			
negotiation			
neighbor			
neighborhood			
nest			
net			
network			
neuron			
neutral			
neutron			
newbie			
news			
newspaper			
niche			
nick			
nickel			
night			
nightingale			
nightmare			
nikujaga			
nine			
nineteen			
nineteenth			
ninetieth			
ninety			
ninth			
nip			
nitrogen			
no			
nobility			
noise			
nomination			
nonsense			
noodle			
noon			
norm			
normal			
north			
northeast			
northward			
northwest			
nose			
note			
notebook			
nothing			
notice			
notion			
novelist			
novelty			
November			
nucleus			
nude			
number			
numeral			
nun			
nurse			
nut			
nutria			
nutrient			
nutrition			
nylon			
oak			
oasis			
oat			
obedience			
objection			
obligation			
obscurity			
observance			
observation			
observer			
obsession			
obstruction			
occasion			
occupation			
occurrence			
ocean			
October			
octopus			
odd			
oddity			
odds			
odor			
off			
offense			
offensive			
offer			
offering			
office			
officer			
official			
oil			
okra			
okroshka			
old-timer			
olive			
omelet			
omission			
on			
one			
onion			
onset			
operation			
operator			
opinion			
opponent			
opposition			
option			
order			
ordinary			
organization			
origin			
output			
outside			
owner			
pace			
pack			
page			
pain			
painting			
pair			
panel			
paper			
parent			
park			
part			
partner			
partnership			
party			
pass			
passage			
passenger			
passion			
passive			
passport			
past			
pasta			
pastel			
pastime			
pastry			
pasture			
pat			
path			
patience			
patient			
patriot			
patriotism			
patrol			
patronage			
pawn			
pay			
paycheck			
payday			
payment			
payoff			
payroll			
paystub			
pea			
peace			
peach			
peacock			
peanut			
pear			
pearl			
peat			
peck			
peculiarity			
pedestrian			
peek			
peep			
peg			
pelmeni			
pen			
penalty			
pence			
pencil			
pendant			
penguin			
peninsula			
pennsylvania			
penny			
pension			
people			
pepper			
percent			
percentage			
perception			
perch			
perfection			
performance			
perfume			
period			
perjury			
permission			
perseverance			
person			
persona			
personality			
personnel			
perspective			
persuasion			
pest			
pesticide			
pet			
phantom			
pharmacy			
philosopher			
philosophy			
pho			
phoenix			
phone			
photo			
photograph			
photographer			
photography			
photon			
photosynthesis			
physician			
physicist			
physics			
pi			
pianist			
piano			
pick			
pickle			
pickup			
picnic			
picture			
piece			
pilot			
pitch			
place			
plan			
plane			
plant			
plastic			
plate			
platform			
play			
player			
pleasure			
plot			
poem			
poet			
point			
police			
policy			
politics			
pollution			
pool			
population			
position			
possibility			
post			
pot			
poultry			
pound			
poverty			
powder			
power			
practice			
prairie			
praise			
prawn			
prayer			
preacher			
precaution			
precedent			
precious			
precipitation			
prediction			
prefecture			
preference			
pregnancy			
prejudice			
prelude			
premier			
premise			
premium			
preoccupation			
preparation			
prescription			
presence			
present			
presentation			
preservative			
preserve			
presidency			
president			
press			
pressure			
prestige			
presumption			
pretense			
pretension			
prey			
price			
pricing			
pride			
priest			
prime			
prince			
princess			
principal			
principle			
print			
prior			
priority			
prison			
private			
privatization			
privilege			
prize			
probability			
probation			
problem			
procedure			
proceeding			
process			
procession			
procurement			
produce			
producer			
production			
productivity			
profession			
professor			
profit			
profitability			
program			
progress			
progression			
prohibition			
project			
projection			
prominence			
promise			
promotion			
pronunciation			
proof			
propaganda			
property			
prophecy			
proportion			
proposal			
proposition			
propriety			
prose			
prosecution			
prosecutor			
prospect			
prosperity			
protection			
protectionism			
protector			
protest			
province			
provision			
psychology			
public			
publication			
punch			
purchase			
purpose			
pursuit			
quality			
quantity			
quarter			
queen			
question			
race			
radio			
rain			
range			
rank			
rate			
ratio			
reach			
reaction			
reading			
ready			
real			
reality			
realization			
rear			
reason			
rebate			
rebellion			
recall			
receipt			
receiver			
reception			
receptor			
recess			
recession			
recitation			
recognition			
recollection			
recommendation			
reconnaissance			
reconstruction			
record			
recourse			
recovery			
recreation			
red			
reduction			
redundancy			
redwood			
reed			
reference			
refinement			
reflection			
reflex			
reform			
refraction			
refreshment			
refuge			
refugee			
refusal			
regard			
regime			
regiment			
region			
register			
registration			
registry			
regret			
regulation			
rehabilitation			
rehearsal			
reign			
reimbursement			
reindeer			
reinforcement			
rejection			
relation			
relationship			
relative			
relaxation			
relay			
release			
reliance			
relic			
relief			
religion			
relish			
relocation			
remain			
remainder			
remark			
remedy			
remembrance			
reminiscence			
remnant			
remuneration			
Renaissance			
rendezvous			
renewal			
renown			
rental			
repair			
repayment			
repetition			
replacement			
reply			
report			
reporter			
repose			
representation			
representative			
repression			
reproach			
reproduction			
reptile			
republic			
republican			
reputation			
request			
research			
reservation			
reserve			
resident			
resolution			
resource			
respect			
response			
responsibility			
rest			
restaurant			
result			
retirement			
return			
revenue			
review			
revolution			
reward			
rice			
ride			
ring			
risk			
river			
road			
rock			
role			
room			
root			
row			
rugby			
ruin			
rule			
ruler			
ruling			
rumble			
run			
runner			
rupture			
rush			
Russian			
rustle			
rye			
sack			
sacrifice			
saddle			
sadness			
safety			
sage			
sail			
sailing			
sailor			
saint			
sake			
salad			
salary			
sale			
sales			
salesman			
salmon			
salon			
salt			
salvation			
samosa			
samurai			
sanction			
sanctuary			
sand			
sandal			
sandwich			
sandy			
sap			
sapphire			
sarcasm			
sardine			
satellite			
satire			
satisfaction			
Saturday			
saturn			
sauce			
sausage			
saving			
savior			
savor			
say			
scale			
scan			
scandal			
scar			
scarcity			
scare			
scarf			
scatter			
scenario			
scene			
scent			
schedule			
scheme			
scholar			
scholarship			
school			
schooling			
science			
scientist			
scissor			
scope			
scorch			
score			
scorn			
Scotland			
scout			
scramble			
scrap			
scratch			
scrawl			
scream			
screen			
screening			
screw			
screwdriver			
scribble			
script			
scripture			
scrub			
scrutiny			
sculpture			
scurry			
scythe			
sea			
season			
seat			
second			
secret			
secretary			
section			
security			
selection			
self			
sense			
series			
service			
session			
settlement			
sex			
shade			
shadow			
shake			
shame			
shape			
share			
shelter			
shine			
shirt			
shock			
shoe			
shop			
shopping			
shoulder			
shovel			
show			
shower			
shred			
shrimp			
shrine			
shrub			
shudder			
shuffle			
shuttle			
sickle			
sickness			
side			
sideboard			
siege			
sight			
sightseeing			
sign			
signal			
signature			
silence			
silk			
silver			
similarity			
simmer			
sin			
sincerity			
singer			
sink			
sir			
sister			
site			
six			
sixteen			
sixteenth			
sixth			
sixtieth			
sixty			
size			
skate			
skating			
sketch			
ski			
skid			
skiing			
skill			
skin			
skirt			
sky			
slab			
slack			
slam			
slant			
slash			
slate			
slaughter			
slaughterhouse			
slave			
slavery			
sleep			
sleeve			
sling			
slip			
slob			
slogan			
slope			
slowdown			
slug			
slum			
slumber			
slump			
smack			
small			
smart			
smell			
smile			
smoke			
smoking			
smooth			
smother			
snail			
snake			
snap			
snarl			
snow			
snowboarding			
snowstorm			
snuff			
snug			
soap			
soccer			
socialism			
socialist			
society			
socioeconomics			
sock			
soda			
sodium			
sofa			
soil			
soldier			
sole			
solicitor			
solid			
solitary			
solitude			
solution			
son			
song			
sorrow			
sort			
soul			
sound			
soup			
sour			
source			
south			
southeast			
southward			
southwest			
sovereignty			
soviet			
soybean			
space			
spacecraft			
spaceship			
spade			
spaghetti			
span			
Spanish			
spark			
sparrow			
spasm			
speaker			
specialist			
specialty			
species			
specific			
specification			
spectacle			
spectator			
speculation			
speech			
speed			
spell			
spelling			
sperm			
spice			
spider			
spill			
spin			
spinach			
spirit			
spit			
split			
spoil			
spokesperson			
sponge			
sponsor			
spoon			
sport			
sporting			
spot			
spotlight			
sprawl			
spray			
spread			
spring			
springtime			
sprout			
spy			
squadron			
square			
squash			
squat			
squeak			
squeeze			
squid			
squirrel			
stack			
stadium			
staff			
stage			
stagger			
stagnation			
stain			
stair			
stake			
stalk			
stall			
stamp			
stand			
standing			
star			
starch			
start			
start-up			
starvation			
state			
statement			
station			
statistics			
statue			
status			
stay			
steak			
steal			
steam			
steep			
stem			
step			
stereo			
stew			
stick			
stigma			
still			
stink			
stint			
stir			
stitch			
stock			
stockbroker			
stockholder			
stocking			
stomach			
stomachache			
stone			
Stonehenge			
stool			
stoop			
stop			
storage			
store			
storm			
story			
straight			
strain			
strait			
stranger			
strap			
strategy			
straw			
strawberry			
stream			
street			
strength			
stress			
stretch			
strife			
strike			
striker			
string			
stroke			
structure			
student			
studio			
study			
stump			
stupidity			
style			
subconscious			
subdivision			
subject			
submission			
subscription			
subsidiary			
subsidy			
substance			
subtlety			
suburb			
success			
succession			
suck			
sucker			
sue			
sufficiency			
sugar			
suggestion			
suicide			
suit			
sukiyaki			
sulfur			
sultan			
sum			
summary			
summer			
summertime			
summit			
sun			
sunburn			
Sunday			
sunflower			
sunlight			
sunrise			
sunset			
sunshine			
superconductor			
superior			
supermarket			
supernova			
superpower			
supervision			
supervisor			
supper			
supplement			
supplier			
supply			
support			
supporter			
supposition			
surcharge			
surf			
surface			
surfing			
surge			
surgeon			
surgery			
surplus			
surprise			
surrender			
survey			
survival			
sushi			
suspect			
suspension			
suspicion			
swamp			
swan			
swap			
sweat			
sweater			
sweep			
sweet			
sweetheart			
sweetie			
swell			
swift			
swimming			
swing			
switch			
sword			
Sydney			
symbol			
sympathy			
symphony			
symptom			
syndicate			
syndrome			
synthesis			
syrup			
system			
table			
tablet			
tack			
tackle			
tact			
tag			
tail			
tailor			
takeoff			
takeover			
tale			
talent			
talk			
tally			
tan			
tank			
tap			
tape			
tariff			
task			
taste			
tattoo			
tax			
taxation			
taxi			
taxpayer			
tea			
teacher			
team			
tear			
tech			
technique			
technology			
telegraph			
telephone			
television			
temper			
temperament			
temperance			
tempest			
temple			
tempo			
temptation			
tempura			
ten			
tennis			
tenor			
tension			
tent			
tenth			
term			
termination			
terminology			
territorial			
territory			
terror			
test			
testament			
testimony			
Texas			
text			
textbook			
textile			
thank			
thanksgiving			
theater			
theatrical			
theft			
theology			
theory			
therapy			
thermal			
thermodynamics			
thesis			
thick			
thickness			
thief			
thing			
think			
thinking			
third			
thirst			
thirteen			
thirteenth			
thirtieth			
thirty			
thorn			
thoroughfare			
thought			
thousand			
thousandth			
thread			
threat			
three			
thrift			
throat			
throne			
thrust			
thumb			
thunder			
thunderstorm			
Thursday			
ticket			
tide			
tie			
tiger			
tights			
timber			
time			
tin			
tingle			
tissue			
title			
toad			
toast			
tobacco			
today			
toe			
toil			
toilet			
tolerance			
toll			
tomato			
tomb			
tomorrow			
ton			
tone			
tongs			
tongue			
tonic			
tool			
tooth			
toothache			
top			
topping			
torment			
tornado			
torpedo			
torrent			
torture			
toss			
touch			
tour			
tourist			
towel			
tower			
town			
townspeople			
toy			
trace			
track			
tractor			
trade			
trademark			
trader			
tradition			
tragedy			
trail			
train			
training			
tramp			
transaction			
transfer			
transit			
translation			
transmission			
transparency			
transport			
transportation			
trap			
trauma			
travel			
traveler			
tray			
treachery			
tread			
treasure			
treasurer			
treasury			
treat			
treatment			
treaty			
treble			
tree			
tremble			
trespass			
trial			
tribe			
tribunal			
tribute			
trick			
trickle			
trifle			
trim			
trio			
trip			
triumph			
troop			
trot			
trouble			
trough			
trout			
truce			
true			
trumpet			
trunk			
trust			
truth			
tube			
tuberculosis			
tuck			
Tuesday			
tuition			
tulip			
tumble			
tumor			
tuna			
tune			
turf			
Turkey			
turn			
turnaround			
turnip			
turnover			
turtle			
twelfth			
twelve			
twentieth			
twenty			
twig			
twin			
twinkle			
twist			
twitter			
two			
type			
typhoon			
tyranny			
tyrant			
ukha			
ultimate			
ultrasound			
umbrella			
uncertainty			
uncle			
unconscious			
undergraduate			
underground			
underneath			
underside			
understanding			
undertaking			
underwater			
underwear			
unemployment			
uniform			
union			
unit			
unity			
universe			
university			
unknown			
unseen			
up			
upgrade			
uplift			
upright			
upset			
upside			
upstairs			
upturn			
uranium			
uranus			
urge			
usage			
use			
usual			
utility			
utmost			
utopia			
utterance			
vacancy			
vacation			
vaccine			
vacuum			
validity			
valley			
valuation			
value			
van			
vanilla			
vanity			
vapor			
variation			
variety			
varnish			
vase			
vault			
vegetable			
vegetation			
veil			
vein			
velocity			
vendor			
vengeance			
venture			
venus			
verdict			
verse			
vertebra			
vest			
veteran			
veto			
vibe			
vibration			
vice			
vicinity			
victim			
victor			
victory			
video			
videoconference			
view			
village			
villain			
vine			
vinegar			
vineyard			
vintage			
viola			
violation			
violence			
violet			
violin			
violinist			
virgin			
Virginia			
virtue			
virus			
visa			
visibility			
vision			
visitor			
vital			
vitamin			
vocabulary			
vocation			
vogue			
voice			
void			
volcano			
volley			
volleyball			
volt			
voltage			
volume			
volunteer			
vomit			
vortex			
vote			
voucher			
vow			
voyage			
wade			
wage			
wail			
waist			
wait			
waiter			
waitress			
walk			
wall			
wallet			
walnut			
waltz			
wane			
want			
war			
ward			
wardrobe			
ware			
warfare			
warm			
warp			
warrant			
warranty			
warrior			
warship			
wartime			
wash			
washington			
wasp			
waste			
watch			
water			
watercolor			
waterfall			
watermelon			
waterproof			
watt			
wave			
wavelength			
wax			
way			
weakness			
wealth			
weapon			
weather			
wedding			
Wednesday			
weed			
week			
weekday			
weekend			
weep			
weight			
weirdo			
welfare			
west			
westward			
wet			
whale			
wheat			
wheel			
wheelchair			
wheels			
whelk			
while			
whip			
whirl			
whirlwind			
whiskey			
whisper			
white			
wholesale			
why			
widow			
width			
wife			
wig			
wild			
will			
willow			
wince			
wind			
windfall			
window			
wine			
wink			
winner			
winter			
wintertime			
wire			
wireless			
wisconsin			
wisdom			
wish			
wit			
witch			
witness			
woe			
wolf			
woman			
wonder			
wonton			
wood			
woodland			
wool			
woolen			
word			
work			
worker			
workflow			
workforce			
workload			
workplace			
workweek			
world			
worm			
worry			
worship			
worth			
wound			
wrap			
wreck			
wrench			
wrestling			
wrist			
writer			
wrong			
x-ray			
xanadu			
xenon			
xenophobia			
xerox			
xmas			
xylitol			
xylophone			
yak			
yard			
yarn			
year			
yellow			
yen			
yes			
yesterday			
yield			
yogurt			
yoke			
young			
youth			
zeal			
zebra			
zeppelin			
zero			
zest			
zip			
zodiac			
zone			
zoo			
zoom			
zucchini			
doughnut			
drain			
dread			
dressing			
drift			
drip			
drone			
dusk			
earnings			
earring			
Easter			
eastward			
eclipse			
ecology			
e-commerce			
eggplant			
Egypt			
elaboration			
elastic			
electron			
elegance			
elite			
ellipsis			
e-mail			
embodiment			
emigration			
eminence			
enactment			
frog			
frontier			
frost			
fume			
fungus			
funk			
fury			
fusion			
fuss			
galaxy			
gale			
gallery			
garlic			
garment			
gateway			
gathering			
gaze			
geek			
gem			
general			
generosity			
genesis			
genius			
gentleman			
geography			
germ			
gesture			
ghost			
giant			
gibbon			
gig			
gin			
ginger			
giraffe			
glee			
glitter			
globe			
gloom			
glory			
glove			
glow			
glue			
go			
goat			
goddess			
goodwill			
gorilla			
gospel			
gossip			
governor			
gown			
grace			
graduation			
grain			
gram			
grammar			
grand			
grandparent			
grape			
grasp			
gratification			
gratitude			
grave			
gravity			
gravy			
Greek			
green			
greeting			
grenade			
grid			
grief			
grip			
guarantee			
guitar			
gum			
gun			
gut			
gutter			
gym			
gymnastics			
hail			
halt			
hamburger			
hammer			
handkerchief			
hangover			
harbor			
hardship			
hare			
harmony			
harp			
harvest			
hatred			
hawk			
hay			
hazard			
haze			
headache			
heading			
headline			
heel			
helm			
hen			
herald			
herb			
herd			
heroic			
heroine			
hertz			
high			
highland			
highway			
hindrance			
hip			
hockey			
hoe			
hog			
holy			
homage			
homework			
homicide			
hood			
hop			
horizon			
hormone			
horn			
hose			
hospitality			
hostility			
housewife			
hue			
humanism			
humanity			
hunter			
hurricane			
hydrogen			
hypocrisy			
hypothesis			
iceberg			
idiom			
idleness			
idol			
illumination			
illusion			
illustration			
imitation			
immigration			
imperative			
imperfection			
implement			
imposition			
imprisonment			
impulse			
incarceration			
incentive			
inclination			
inconsistency			
Indian			
individuality			
infancy			
infant			
infinite			
influenza			
infringement			
ingredient			
inhabitant			
inheritance			
injection			
inn			
innocence			
inscription			
insolvency			
inspector			
instant			
instinct			
institute			
insult			
insurgent			
insurrection			
intellect			
interjection			
intermission			
interruption			
invalid			
invention			
inventor			
investigation			
investor			
invoice			
ion			
iris			
irony			
irrigation			
irritation			
islam			
isle			
Italian			
kangaroo			
keep			
kernel			
ketchup			
kettle			
kidney			
kilometer			
kindness			
kingdom			
kinship			
kit			
kite			
knight			
knot			
knuckle			
koala			
Korean			
label			
laboratory			
ladder			
lamb			
landing			
landscape			
liberty			
lick			
lieutenant			
lightning			
lilac			
lily			
limb			
lime			
lion			
lip			
liquid			
liquor			
litter			
liver			
livestock			
lizard			
llama			
load			
lobster			
locality			
locker			
locust			
maker			
makeup			
malt			
mammoth			
mango			
manifestation			
mankind			
manufacture			
maple			
marathon			
marble			
mare			
margin			
marine			
marketing			
marketplace			
marrow			
Mars			
marsh			
marvel			
Maryland			
masculine			
mask			
mass			
massage			
master			
masterpiece			
mastery			
mathematics			
microorganism			
microscope			
midnight			
midst			
migration			
mile			
milieu			
military			
mill			
mine			
mining			
minister			
ministry			
miracle			
mischief			
misdemeanor			
misery			
misfortune			
missile			
missionary			
mississippi			
mist			
mister			
multitude			
murderer			
museum			
mushroom			
musical			
musician			
muslim			
mustard			
mystery			
myth			
naan			
narration			
narrative			
nationalist			
nationality			
nausea			
navy			
necessity			
neon			
nerd			
nerve			
opera			
oppression			
orange			
orbit			
ordinance			
organ			
organism			
orient			
ornament			
ostrich			
ounce			
outbreak			
outlet			
outrage			
outset			
overcoat			
overflow			
oversight			
overtime			
overture			
oxygen			
oyster			
pact			
pad			
paint			
painter			
pal			
palace			
palm			
pan			
pancake			
panda			
panic			
panther			
pants			
paradise			
paralysis			
parcel			
pardon			
parliament			
parsley			
particle			
particular			
partition			
pie			
pig			
pigeon			
pilgrim			
pill			
pin			
pinch			
pine			
pineapple			
pink			
pipe			
pit			
pitchfork			
pity			
pizza			
placement			
plague			
plaintiff			
planet			
plantation			
plateau			
platoon			
playground			
plea			
pledge			
plow			
plum			
plump			
pocket			
poetry			
pointer			
poison			
pole			
policeman			
politician			
poll			
pond			
pop			
popcorn			
pope			
pork			
port			
portion			
positive			
possession			
posture			
potassium			
potato			
potter			
pottery			
proton			
proxy			
psyche			
puddle			
pull			
pulse			
pump			
pumpkin			
punishment			
pupil			
purity			
purse			
push			
puzzle			
qualification			
quarrel			
query			
quiz			
quota			
quotation			
rabbit			
rack			
racket			
radiation			
radish			
raft			
rage			
rail			
railway			
rainbow			
raise			
raisin			
rally			
ram			
ranch			
raspberry			
rat			
ravage			
raven			
ray			
re			
reader			
readiness			
residence			
resistance			
resolve			
resonance			
resort			
restoration			
resume			
resurrection			
retreat			
revenge			
reverence			
reverse			
revision			
revival			
revolt			
rhyme			
rhythm			
ribbon			
riches			
riddle			
rifle			
rig			
right			
riot			
ripple			
rise			
rite			
ritual			
roast			
robber			
robbery			
robe			
rocket			
rod			
roll			
roman			
romance			
roof			
rope			
rose			
rot			
rub			
rubber			
ruby			
seafood			
seal			
seasoning			
seaweed			
sect			
seed			
segment			
seizure			
semblance			
semiconductor			
sensation			
sentence			
sentiment			
separation			
September			
seriousness			
serpent			
servant			
serviceman			
sesame			
set			
severity			
shaft			
shampoo			
shark			
sheep			
sheet			
shell			
shellfish			
shepherd			
sherbet			
sherry			
shield			
ship			
shiver			
shore			
downsizing			
downstairs			
downturn			
doze			
drag			
drawback			
droop			
dwarf			
dynamic			
earnest			
ebb			
eccentricity			
economist			
ecosystem			
edible			
eightieth			
eighty			
electric			
electrolysis			
electrolyte			
electromagnet			
electromagnetism			
eleven			
eleventh			
elm			
embarrassment			
enclosure			
encore			
encouragement			
fringe			
fundamental			
fur			
furrow			
fuse			
gallop			
gamble			
ganges			
gape			
gene			
generality			
generalization			
genetics			
genome			
gentry			
geology			
German			
glacier			
glare			
glossy			
goldfish			
goodness			
goods			
goose			
gorge			
grapefruit			
grasshopper			
gravel			
gray			
graze			
grazing			
greenhouse			
greyhound			
grind			
grocery			
gross			
grotesque			
grove			
grub			
grumble			
guideline			
guild			
guitarist			
gunshot			
gush			
gust			
half-life			
ham			
hamster			
handicraft			
hang			
harassment			
hardness			
hardy			
harmonica			
haul			
hawaii			
headquarters			
healing			
heath			
heather			
heave			
herbicide			
hereafter			
heritage			
herring			
hick			
hide			
hierarchy			
highness			
hike			
hiking			
hiss			
historian			
holiness			
hollywood			
holocaust			
honesty			
honeymoon			
hoodie			
hook			
hostage			
household			
housekeeping			
housework			
hum			
humility			
hundred			
hundredth			
hunting			
hurdle			
hydrangea			
hydroxide			
hymn			
ideal			
ignition			
immunity			
impeachment			
imperfect			
imperial			
impetus			
impossibility			
inadequacy			
inauguration			
incidence			
incidental			
inclusion			
inconvenience			
India			
indictment			
indignity			
induction			
indulgence			
inefficiency			
inequality			
inevitable			
infantry			
inference			
infinity			
inflammation			
influx			
infrastructure			
initiation			
injustice			
ink			
inning			
insecticide			
insecurity			
inside			
installment			
insulator			
intake			
interchange			
interim			
intersection			
intimacy			
intuition			
inventory			
Ireland			
Irish			
irrelevance			
italic			
keynote			
kimchi			
kitten			
kitty			
klutz			
knitting			
knockoff			
Korea			
lace			
lance			
licorice			
lid			
like			
likeness			
limitation			
limp			
lining			
lipstick			
listener			
litigation			
loaf			
local			
logistics			
mammal			
mandate			
mania			
manure			
maroon			
mat			
math			
microbiology			
microeconomics			
midway			
mileage			
millennium			
million			
millionth			
mineral			
miniature			
mink			
minority			
mint			
mitosis			
mitt			
mixer			
ms			
mule			
muse			
muskrat			
mutation			
mutter			
mythology			
nap			
nationalism			
nationalization			
needle			
neptune			
optics			
orchard			
orchestra			
orchid			
ordeal			
orientation			
original			
out			
outcry			
outfit			
outlay			
overall			
overdraft			
overhead			
pacific			
packing			
paddle			
pageant			
pail			
pajama			
pale			
pang			
pansy			
pantheon			
paperwork			
par			
paradox			
parody			
parthenon			
piety			
pigment			
pioneer			
pirozhki			
pitcher			
planning			
planting			
plaque			
plaster			
pluck			
plunge			
plural			
pluto			
pneumonia			
pocketbook			
Polish			
pollen			
pony			
popularity			
potentiality			
potluck			
protein			
protestant			
protocol			
proverb			
providence			
prune			
pudding			
puff			
pulp			
pulpit			
puncture			
punk			
puppy			
purple			
quarry			
questionnaire			
raccoon			
racism			
radar			
radioactivity			
rag			
rainfall			
rake			
ransom			
rap			
rarity			
rash			
ration			
rationale			
rattle			
rescue			
resemblance			
resignation			
restraint			
restriction			
restructuring			
retail			
retailer			
rethink			
reunion			
revelation			
rhea			
ridge			
rigor			
rinse			
rival			
riverside			
roadside			
robin			
rouge			
royalty			
seashore			
seaside			
sediment			
self-employment			
semester			
semifinal			
seminar			
senate			
senator			
sensibility			
sequence			
sergeant			
sermon			
seven			
seventeenth			
seventh			
sewing			
shareholder			
shatter			
shave			
shchi			
shear			
shipment			
shipwreck			
eighteen			
eighth			
landmine			
missouri			
prowl			
roti			
seventeen			
retrial			
seventy			
michigan			
beginning			
boredom			
cleanliness			
dryness			
durability			
freshness			
aluminium			
amazement			
ambassador			
ambulance			
amphibian			
amplifier			
analyst			
anchor			
anesthesia			
antenna			
anthology			
